Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,9021,2009,12.6,5.4,6,6.8,49.6,131.4,145.4,129,93.2,4,32.4,0,615.8
IDCJAC0001,9021,2010,0,0,43.2,23.2,88.6,47.2,144.6,60,27.8,25.2,7.6,16,483.4
IDCJAC0001,9021,2011,43.2,0.4,0,26.2,58.6,143.2,164.6,127.8,102.4,63.4,38.6,67.4,835.8
IDCJAC0001,9021,2012,27.4,19,0,53.2,39.8,134.4,30.6,117.8,103.8,13.8,84.8,24.8,649.4
IDCJAC0001,9021,2013,8.2,1,60.2,7.8,112.2,23,119.2,160.6,172.4,32.4,6.2,0.8,704
IDCJAC0001,9021,2014,0.4,0,4.4,18.6,125.2,92.2,139.2,109.6,70.2,34.2,26.6,0.2,620.8
IDCJAC0001,9021,2015,0.4,28.4,22,56,68.8,100.2,98.8,102.8,46.8,19.2,17.4,17.4,578.2
IDCJAC0001,9021,2016,23.4,0.8,21.4,61.6,106,86.4,129.4,131.6,61.8,37.8,5.6,8.6,674.4
IDCJAC0001,9021,2017,39.8,89.8,19.8,0,57,54.8,181.8,149.2,81.2,26,1.8,28.2,729.4
IDCJAC0001,9021,2018,83.8,0.4,,,,,,,,,,,
