heights
148.7
168.4
161.5
174.7
165
167.8
168
164.9
170.6
170.7
157.3
170.2
166.2
160.6
162.2
163.2
157.4
176.5
158.5
170.3
144.8
162.4
159.3
163.7
168.7
151.5
156.3
174.2
167.7
159.3
162.5
147
162
159.9
172.9
172.1
172.2
155
171.8
154.1
156.2
162.8
160.7
161
159.2
165.8
171.4
156.9
157.4
155.4
165
177.2
177.5
168.9
