"Height	18-24	25-34	35-44	45-54	55-64	65-74	75+	Total"
"<155	7.5	10.4	11.9	13.9	20.1	25.9	45.3	16.6"
"155-160	17.5	16.1	19.4	21.4	26.8	26.4	30	21.5"
"160-165	32.1	30.7	29.7	29.2	29.2	25.7	16.5	28.6"
"165-170	25.4	24.4	24.9	22.2	16.7	15.7	6.9	20.9"
"170-175	11.9	13.1	10.2	9.7	5.8	5.1	1.3	9"
"175-180	4.6	4.7	3.1				0	2.9"
"180+	0.9	0.7	0.7				0	0.5"
